table_schema,table_name,column_name,data_type,foreign_key_name,foreign_table_schema,foreign_table_name,foreign_column_name
public,ad_stats,id,bigint,ad_stats_pkey,public,ad_stats,id
public,ad_stats,event_type,text,null,null,null,null
public,ad_stats,ad_id,text,null,null,null,null
public,ad_stats,created_at,timestamp with time zone,null,null,null,null
public,book_chat_reactions,id,bigint,book_chat_reactions_pkey,public,book_chat_reactions,id
public,book_chat_reactions,message_id,bigint,book_chat_reactions_message_id_user_email_key,public,book_chat_reactions,message_id
public,book_chat_reactions,message_id,bigint,book_chat_reactions_message_id_user_email_key,public,book_chat_reactions,user_email
public,book_chat_reactions,message_id,bigint,book_chat_reactions_message_id_fkey,public,book_chats,id
public,book_chat_reactions,user_email,text,book_chat_reactions_user_email_fkey,public,users,email
public,book_chat_reactions,user_email,text,book_chat_reactions_message_id_user_email_key,public,book_chat_reactions,message_id
public,book_chat_reactions,user_email,text,book_chat_reactions_message_id_user_email_key,public,book_chat_reactions,user_email
public,book_chat_reactions,reaction,text,null,null,null,null
public,book_chats,id,bigint,book_chats_pkey,public,book_chats,id
public,book_chats,created_at,timestamp with time zone,null,null,null,null
public,book_chats,book_name,text,null,null,null,null
public,book_chats,sender_email,text,book_chats_sender_email_fkey,public,users,email
public,book_chats,message,text,null,null,null,null
public,chat_messages,id,bigint,chat_messages_pkey,public,chat_messages,id
public,chat_messages,created_at,timestamp with time zone,null,null,null,null
public,chat_messages,sender_email,text,null,null,null,null
public,chat_messages,receiver_email,text,null,null,null,null
public,chat_messages,message,text,null,null,null,null
public,chat_messages,is_read,boolean,null,null,null,null
public,chat_messages,is_html,boolean,null,null,null,null
public,chavruta_requests,id,uuid,chavruta_requests_pkey,public,chavruta_requests,id
public,chavruta_requests,sender_email,text,null,null,null,null
public,chavruta_requests,receiver_email,text,null,null,null,null
public,chavruta_requests,book_name,text,null,null,null,null
public,chavruta_requests,status,text,null,null,null,null
public,chavruta_requests,created_at,timestamp with time zone,null,null,null,null
public,cookie_consents,id,bigint,cookie_consents_pkey,public,cookie_consents,id
public,cookie_consents,user_email,text,null,null,null,null
public,cookie_consents,ip_address,text,null,null,null,null
public,cookie_consents,user_agent,text,null,null,null,null
public,cookie_consents,accepted_at,timestamp with time zone,null,null,null,null
public,message_reactions,id,bigint,message_reactions_pkey,public,message_reactions,id
